team_id,team_name,country,academic
3296,Phi,,0
3297,Amb,,0
3306,null_,,0
3318,rm-rf,IR,0
3320,HHH,VN,0
3322,TMT,IR,0
3323,Guardian,KR,0
3324,Eiei,TH,0
3325,pwnslinger,IR,0
3329,Dragon Sector,PL,0
3335,Hardc0de,RU,1
3336,silent,MY,1
3340,MeePwn,VN,0
3342,OKOB,,0
3350,cr,,0
3351,Mahno,,0
3353,goober,,0
3355,ShineShadow,,0
3372,Hacker,,0
3375,spidey,,0
3376,vhssunny1,,0
3385,Undo,,0
3389,prakhar,,0
3390,ai,,0
3403,cyb,,0
3404,dummy,,0
3406,tim,,0
3409,bbolmin,,0
3413,humans,,0
3418,pmpt,GB,0
3419,jkr,,0
3422,demo,,0
3427,test123,,0
3433,madman,,0
3435,4ng3l,,0
3437,jade,,0
3438,Cyborg,MM,0
3441,nope,MA,0
3444,lupiotte,,0
3447,x00,,0
3451,FireFart,,0
3453,gosha,,0
3454,alpha,,0
3460,object,,0
3461,push,,0
3465,hoho,,0
3475,bozo,,0
3477,andgein,,0
3487,am,,0
3489,ajax,,0
3492,h4x0r,IN,0
3502,blackbeard,,0
3503,Vayu,,0
3504,L0wk3y,,0
3514,ne0,,0
3515,ang,,0
3523,random,,0
3526,dread,,0
3528,Stinky,,0
3537,nessus,,0
3539,loca,,0
3550,tg,,0
3555,itachi,,0
3556,int3,,0
3559,spectrum,,0
3560,omartinex,,0
3583,brd,,0
3585,secse,,0
3588,fapsec,FR,0
3594,failure,US,0
3596,Night Owls,SG,0
3598,peanuts,FR,0
3599,SoSix,FR,0
3600,BostonKeyParty,US,0
3602,ECX Inc.,US,1
3605,Man In The Poison,,0
3606,Hackdumb,FR,0
3613,UTACSEC,US,0
3615,Mercurii,,0
3619,qqq,,0
3621,Practice,,0
3626,zxcv,,0
3629,GNU-E-Ducks,US,1
3635,Pwn&Play,KR,0
3637,Null@Root,KR,0
3641,Marauders,US,0
3643,Red Alert,,0
3650,ARGOS,KR,0
3654,Atlantis,,0
3655,wasamusume,JP,0
3656,TUNS,,0
3669,hsd,,0
3671,MF,,0
3676,sweet,,0
3686,III,,0
3690,clubbingbabyseals,,0
3694,PNU_Keeper,,0
3724,ITS,,0
3733,THINK,,0
3742,mango,,0
3743,hotdog,,0
3749,winnerS,,0
3758,Team HM,KR,0
3766,IceBreaker,,0
3769,csd,,0
3774,OLDMAN,,0
3775,Emmm,CN,0
3776,KiFastSystemCallRet,,0
3777,KERT,,0
3783,learn_ctf,US,0
3786,Jikimi,KR,0
3787,Spounchers,FR,0
3789,CTFU,US,0
3793,fuzzy,PL,0
3797,Inquisitive,IN,0
3813,0xFF,,0
3818,Spiderz,MA,0
3820,Hackgyver,FR,0
3824,Pasta,,0
3835,w0lfu1,,0
3844,m1sterx,,0
3851,h4ckf0rf00dz,,0
3854,hhc0null,,0
3857,antani,,0
3863,z3it_0r,,0
3865,kurogoma,,0
3870,AltF4,,0
3872,bucen,,0
3879,himanshu,,0
3880,satan,,0
3885,silence,,0
3886,cyanide,,0
3887,hmrb,,0
3891,Pashok,RU,0
3906,v0rt3x,RU,1
3910,Kamazi,RU,0
3925,Protocol,,0
3931,hority,,0
3944,SegFault,IN,0
3945,InfinityPwn,FR,0
3946,r00t,IN,0
3951,botnet,IN,0
3962,Testing,,0
3964,0x01,,0
3966,deception,,0
3967,OneManTeam,,0
3968,bond,,0
3972,pouet,,0
3980,delirium,,0
3981,Nuts,,0
3984,L0L,ID,0
3986,achilles,,0
3992,dumbass,,0
3995,oioioi,,0
4004,CodeRed,KR,0
4012,hazard,,0
4023,abcdefg,,0
4026,MMM,,0
4030,MrMegane,,0
4032,gamma,RU,0
4036,tba,,0
4039,ohmygod,,0
4049,EPICLYONS,,0
4051,CInsects,DE,1
4056,NOPS,FR,1
4062,TESTTEAMPLEASEIGNORE,,0
4065,WOLFPACK,,0
4075,Syndicate,RU,0
4077,42,FR,0
4113,pwnstars,NO,0
