team_id,n_events,first_year,last_year,years_active,best_place,top10_count,top50_count
6506,23,2013,2026,14,3,6,9
6507,20,2013,2016,4,18,0,4
6514,17,2013,2025,13,11,0,7
6516,44,2013,2026,14,5,3,8
6521,9,2013,2015,3,82,0,0
6540,56,2012,2023,12,1,3,12
6544,22,2013,2017,5,5,1,6
6545,21,2013,2014,2,40,0,3
6626,6,2013,2015,3,223,0,0
6682,5,2023,2025,3,29,0,1
6711,21,2013,2018,6,21,0,5
6712,13,2013,2026,14,6,2,5
6721,10,2013,2015,3,99,0,0
6723,6,2017,2021,5,40,0,1
6724,82,2013,2025,13,2,3,10
6727,13,2013,2023,11,39,0,3
6737,8,2013,2019,7,20,0,1
6745,5,2022,2026,5,140,0,0
6747,2,2014,2014,1,260,0,0
6748,1,2013,2013,1,33,0,1
6757,41,2013,2025,13,18,0,7
6759,5,2013,2015,3,30,0,2
6774,11,2013,2023,11,47,0,1
6788,15,2014,2014,1,38,0,2
6790,6,2014,2024,11,100,0,0
6796,52,2013,2025,13,5,5,25
6819,61,2014,2026,13,22,0,2
6825,13,2014,2020,7,80,0,0
6830,43,2015,2026,12,11,0,2
6850,34,2013,2026,14,18,0,2
6924,25,2013,2016,4,23,0,4
6961,9,2020,2026,7,6,1,2
6963,10,2018,2026,9,77,0,0
6964,18,2014,2015,2,5,1,2
6965,49,2013,2025,13,1,30,41
6968,74,2013,2026,14,2,11,30
6969,34,2013,2018,6,2,11,31
6971,10,2013,2024,12,39,0,1
6994,14,2013,2025,13,54,0,0
6999,68,2013,2019,7,40,0,1
7008,142,2014,2023,10,27,0,6
7012,9,2017,2025,9,84,0,0
7016,171,2014,2022,9,1,22,110
7020,34,2014,2026,13,63,0,0
7025,21,2014,2024,11,32,0,2
7038,9,2014,2020,7,86,0,0
7085,31,2014,2019,6,16,0,5
7097,10,2014,2015,2,95,0,0
7101,11,2014,2025,12,10,1,1
7115,11,2014,2016,3,7,1,2
7131,3,2015,2020,6,29,0,1
7135,3,2014,2018,5,2,1,1
7137,18,2014,2023,10,50,0,1
7168,7,2014,2021,8,81,0,0
7199,30,2014,2026,13,15,0,2
7221,207,2014,2026,13,1,44,129
7223,7,2014,2020,7,44,0,1
7351,27,2014,2026,13,44,0,1
7374,9,2014,2023,10,13,0,1
7497,6,2013,2022,10,54,0,0
7510,14,2014,2026,13,63,0,0
7519,8,2014,2023,10,196,0,0
7520,14,2014,2018,5,87,0,0
7525,11,2014,2015,2,44,0,1
7527,33,2014,2018,5,2,8,21
7529,4,2014,2017,4,16,0,2
7531,15,2014,2015,2,51,0,0
7532,12,2014,2026,13,65,0,0
7533,34,2014,2026,13,1,7,22
7552,7,2014,2017,4,67,0,0
7580,96,2014,2026,13,56,0,0
7604,8,2014,2019,6,245,0,0
7612,72,2014,2024,11,71,0,0
7613,26,2014,2023,10,56,0,0
